ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Condition,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_3D0X5fAPCW3uw8d,21,2,2,1,4,3,2,1,1,2,4,3,2,2,1,1,2,3,3,2,3,2,1,4,4,4,1,4,4,1,1,2,1,4,1
R_1FIKcYSb8Oq6uNR,19,2,5,1,4,3,2,1,1,2,4,4,2,2,2,2,2,3,2,4,3,3,4,2,4,4,3,4,3,3,1,1,1,3,1
R_1OYTUjQBWWFGene,19,2,2,1,4,3,2,1,1,2,4,4,2,2,2,2,1,1,3,2,1,3,3,4,1,4,4,4,4,3,3,3,3,1,3
R_3kmMkHRYm6Y8ouK,20,2,5,1,4,3,2,1,1,2,4,4,1,2,2,2,4,3,2,3,1,1,3,4,4,2,4,2,4,4,1,4,1,1,2
R_2bUUet0ZMEyQmL9,18,2,1,4,1,2,3,1,2,1,1,1,4,4,1,1,4,4,4,1,2,2,2,3,3,3,3,3,1,4,3,2,2,4,4
R_2zdqSD6kwGzIJ7v,18,2,2,4,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,3,4,3,3,3,1,4,3,4,4,4
R_diqXG4zV9CqJCDf,18,1,1,4,1,2,3,1,2,1,1,1,1,1,1,1,2,2,2,3,2,2,2,3,3,1,3,3,3,4,3,1,3,4,3
R_3fSEuwE9RpYrrq7,19,2,4,4,1,2,3,1,2,1,1,1,1,2,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,3,4,2,4
R_xlxlU1sA937QNZn,18,2,7,4,1,2,3,1,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4
R_1N5nc0iGCiJxrKP,17,2,5,4,1,2,3,1,2,1,1,1,1,1,1,1,1,3,3,2,3,2,2,2,2,4,2,3,2,4,3,2,4,3,2
R_2QGvZykgdx3wLA3,18,1,2,4,1,2,3,1,2,1,1,1,1,3,1,4,3,2,2,2,2,2,4,4,4,4,3,4,4,3,2,3,2,1,3
R_3nr8IcI889yAHog,18,2,5,4,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,3,1,3,3,3,4,2,3,4,4,4
R_vcpp1eof5d7NEE9,19,2,5,4,1,2,3,1,2,1,1,1,1,4,1,1,1,2,2,4,2,4,1,3,3,3,4,3,3,4,2,1,4,4,2
R_1I74jVLLml3CPzp,20,1,1,4,1,2,3,1,2,1,1,1,1,4,1,1,1,2,2,2,2,2,2,4,3,3,3,3,3,1,4,3,4,4,4
R_1eWQOaMZ0E3txAT,21,2,6,4,1,2,3,1,2,1,1,1,1,2,2,1,1,2,4,2,2,4,4,3,4,4,3,1,1,2,4,4,2,4,4
R_3kpGM1vCiILpIuU,20,2,1,4,1,1,3,0.75,2,1,1,1,3,1,4,1,1,4,4,2,2,1,2,4,4,3,4,3,1,2,4,3,1,4,3
R_9RG8NjpHO8xh5MB,18,2,1,4,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,4,2,2,4,3,3,3,3,3,3,4,2,4,4,4,4
R_3iwpIpplxwRGX5D,19,2,1,4,1,2,3,1,2,1,1,1,1,2,1,1,1,3,2,3,2,2,3,2,4,3,4,4,4,3,2,4,3,2,4
R_3oZRe1iCXgyZMPF,21,2,2,4,1,2,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2,3,2,3,3,4,4,2,3,4,4,4
R_r8UzeBRZx2twlnH,18,2,5,4,1,2,3,1,2,1,1,1,4,2,2,1,2,4,1,2,3,2,3,3,3,2,3,3,3,2,1,4,2,1,4
R_Dq8D3AxfzZJzqaR,19,2,1,4,1,2,3,1,2,1,1,1,4,1,1,3,3,2,2,2,2,2,2,3,4,3,3,4,3,4,4,4,4,4,4
R_2yddP2GjkiaDZRf,18,2,2,4,1,2,3,1,2,1,1,2,2,2,2,2,1,2,2,2,4,4,1,3,1,4,3,3,3,2,1,1,2,4,4
R_1d9W3eDlDX7dlMF,20,2,2,4,1,2,3,1,2,1,1,2,2,2,1,1,4,2,2,2,2,3,1,2,3,4,3,3,3,4,3,4,1,2,3
R_297lbVQoMDMRrhg,20,2,1,4,1,2,3,1,2,1,1,2,4,1,1,2,1,2,2,2,2,3,1,3,3,4,1,4,4,3,2,4,3,3,2
R_9nsxUwHkfVqZQC5,19,2,1,4,1,2,3,1,2,1,1,2,1,1,1,1,1,4,2,2,2,2,2,3,3,1,3,3,3,4,4,4,4,4,2
R_2CfzeXRBNtKPWja,20,2,2,4,1,2,3,1,2,1,1,4,1,3,4,1,4,2,2,3,2,3,2,1,3,3,3,1,3,1,4,1,1,4,2
R_3mlBPRYmJfcmWm6,18,1,1,4,1,2,3,1,2,1,1,4,1,1,1,4,4,3,3,1,2,1,3,2,1,3,2,3,1,4,1,4,3,3,4
R_1r1SAVoqrrIuv3D,20,2,2,4,1,2,3,1,2,1,1,4,2,2,2,3,2,1,2,2,1,1,2,2,1,2,3,3,3,4,4,4,4,4,4
R_3OoGmT4sRcKyWMr,20,1,1,3,4,1,2,1,2,1,2,1,4,1,1,1,1,4,3,3,4,3,4,2,2,2,2,2,2,1,4,3,3,3,3
R_2AEvNCOBBhPHjNK,18,2,4,3,4,1,2,1,2,1,2,1,4,1,3,2,4,3,4,3,3,1,2,2,2,1,1,3,2,2,2,3,3,3,2
R_2aXIBImsXFtTMTq,18,1,1,3,4,1,2,1,2,1,2,2,3,2,2,2,2,1,3,2,1,2,1,4,1,4,4,4,4,3,2,3,3,3,3
R_3sbmwjwJVaHM07Y,21,2,2,3,4,1,2,1,2,1,2,3,3,4,4,4,4,1,1,3,1,2,4,2,2,2,2,2,1,4,2,4,3,3,3
R_0ddOsifq8rCMkHD,18,1,1,3,4,1,2,1,2,1,2,3,4,4,3,4,4,4,1,1,2,1,2,2,2,2,3,1,1,3,2,1,3,3,2
R_3PaD5FRm9FRBPxg,18,1,1,3,4,1,2,1,2,1,2,3,4,2,4,4,4,1,1,1,1,1,1,2,2,2,2,4,3,3,4,3,3,3,3
R_26mUFO5v4x8UixU,19,1,1,3,4,1,2,1,2,1,2,3,2,2,1,4,1,1,3,1,2,1,1,4,2,2,2,1,3,3,4,3,4,3,4
R_bJmaVEjaXiICwMN,18,2,4,3,4,1,2,1,2,1,2,3,4,4,4,4,3,1,3,1,2,1,3,1,2,3,2,2,4,3,3,3,3,1,3
R_12yHvxgcC1u62z8,18,2,1,3,4,1,2,1,2,1,2,4,3,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
R_2XgQWqjHe1vzKVq,17,2,2,3,4,1,2,1,2,1,2,4,3,4,2,4,4,1,2,1,1,4,3,2,2,3,3,3,3,1,1,2,1,2,3
R_21nQfi6iFyg7yQS,18,1,1,3,4,1,2,1,2,1,2,4,2,1,1,3,2,4,3,2,4,4,4,3,4,2,4,3,4,2,1,1,3,1,1
R_31TN4uuj8vV0MoA,18,2,1,3,4,1,2,1,2,1,2,4,4,3,4,4,2,2,1,4,2,3,3,2,2,1,3,1,2,4,2,2,4,3,1
R_1LASFudUKkFTsOt,20,2,4,3,4,1,2,1,2,1,2,4,1,1,4,4,3,1,1,4,1,1,1,2,2,3,2,3,2,1,1,2,1,1,1
R_1Fh1pBasWmvRRHP,18,1,6,3,4,3,2,0.75,2,1,2,4,4,4,3,4,2,2,2,1,3,1,3,3,2,1,1,1,3,1,2,4,3,2,2
R_UiKzmTCVhK8V3r3,19,1,1,3,4,1,2,1,2,1,2,4,4,4,4,4,4,1,2,4,2,1,1,3,2,2,1,2,2,3,4,3,2,3,3
R_2E48YEJVUwsFCNQ,20,1,6,3,4,1,2,1,2,1,2,4,4,1,4,2,4,2,1,4,1,1,3,3,2,1,2,2,2,1,1,3,1,3,4
R_1Qi6Vn6dlcFw4b3,20,2,4,3,4,1,2,1,2,1,2,4,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,4,4,3,3,3,3,3,3
R_2VCQ7dY5GInpsWj,19,1,1,3,4,1,2,1,2,1,2,4,3,3,2,4,2,4,1,1,1,4,2,1,1,1,4,1,1,4,2,2,4,3,3
R_xyWME2yaI08q02R,20,1,6,3,4,1,2,1,2,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,1,2,2,2,3,3,3,3,3,1
R_sSC40Fq9VRN8dSF,19,2,3,3,1,1,2,0.75,2,1,2,4,2,4,2,4,3,2,3,3,2,2,3,4,3,4,3,1,3,4,3,3,3,2,2
R_SQ7yPcsTX2nwEq5,18,1,5,3,4,1,2,1,2,1,2,4,4,4,3,4,2,2,1,4,1,4,2,3,2,1,2,1,4,3,3,3,3,3,3
R_276XHfNqUS7j9D0,19,2,1,3,4,1,2,1,2,1,2,4,1,2,3,4,4,1,1,1,1,4,1,3,2,3,2,2,2,3,1,3,3,3,3
R_1QrNpAqHkCCVZu6,19,1,1,3,4,1,2,1,2,1,2,4,4,4,4,4,2,1,3,3,1,1,2,2,2,2,2,1,2,3,3,3,3,3,3
R_1E5mO2cTyXqN4AC,17,2,7,3,4,1,2,1,2,1,2,4,3,2,4,4,2,1,2,1,1,1,3,1,1,2,2,2,4,4,3,4,3,3,3
R_3FWmLQYZgl7N5Tt,18,2,6,2,3,4,1,1,2,2,3,2,1,3,3,2,3,3,4,4,4,4,2,1,1,1,1,1,3,3,2,3,3,2,3
R_3et0QUwiae6tjb5,22,1,2,2,3,4,1,1,2,2,3,2,2,2,3,3,3,4,4,3,4,4,3,2,2,1,1,1,4,2,2,2,4,2,3
R_1kIDJPzvnzxjPXn,19,2,5,2,3,4,1,1,2,2,3,2,3,2,2,2,4,4,3,1,4,4,4,3,2,3,4,3,1,3,3,2,1,1,2
R_3fTzAK1vgIkxydv,18,1,1,2,3,4,1,1,2,2,3,3,3,2,3,3,4,3,4,3,3,2,4,4,4,1,4,1,1,4,2,3,2,3,3
R_AnXHACfuYhsuPEB,18,2,1,2,3,4,1,1,2,2,3,3,2,3,3,2,3,4,4,4,3,4,4,1,1,1,1,1,1,2,2,2,2,2,2
R_OiDNRH5QIDZTCal,19,2,1,2,3,4,1,1,2,2,3,3,1,3,3,1,3,4,4,4,2,3,4,1,1,1,3,1,1,3,2,2,2,2,2
R_1NwZKG6pOSDqzkA,18,2,4,2,3,4,1,1,2,2,3,3,2,4,3,3,3,4,4,1,2,4,4,1,1,2,2,1,1,2,2,2,2,2,4
R_CdfLxAW0hNM8K77,20,2,1,2,3,4,1,1,2,2,3,3,3,2,3,3,3,4,4,4,3,4,4,1,2,1,1,1,1,2,2,3,3,3,3
R_3iBWEYowxtQIRcI,18,1,1,2,3,4,1,1,2,2,3,3,2,1,3,3,4,4,1,1,4,4,4,2,2,2,1,1,1,1,2,2,2,4,2
R_3oSJmjxHozEvJlv,18,2,2,2,3,4,1,1,2,2,3,3,3,2,3,3,3,4,4,1,4,4,4,1,2,2,2,1,1,2,4,1,2,2,4
R_2uvKJK4mhwvRXsI,18,1,1,2,3,4,1,1,2,2,3,3,2,4,3,3,3,4,4,4,4,4,4,1,1,1,1,1,1,2,2,4,2,2,2
R_DvkUV5EMnAeowLf,18,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,3,4,4,4,4,2,1,1,3,1,1,3,2,4,2,2,4
R_2ygsLNoWDYx0DkZ,18,2,1,2,3,4,1,1,2,2,3,3,2,3,3,3,4,2,4,1,4,3,4,1,2,4,1,1,1,2,2,3,2,2,4
R_3nx5kz926AS2HhW,17,1,5,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,1,1,3,1,1,4,2,2,2,2,2,2
R_Q6XHlXrjPuRn1Ch,19,2,7,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,1,1,4,4,1,3,1,2,3,2,2,2,2,2,2,2
R_3FXWz2t9gJiKLsm,20,2,1,2,3,4,1,1,2,2,3,3,2,3,3,2,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,3,2,2,2
R_2VwG4k0VCRBxIXS,19,1,1,2,3,4,1,1,2,2,3,3,3,2,4,4,3,3,3,1,4,3,4,1,3,4,1,4,3,2,2,4,2,2,1
R_1mKKNvFqHhrsq6o,18,2,2,2,3,4,1,1,2,2,3,3,3,3,3,1,3,4,4,4,4,4,3,2,1,1,2,1,1,2,2,4,2,2,2
R_1mgiFnWRdyoWAz9,21,1,6,2,3,4,1,1,2,2,3,3,1,4,3,3,3,4,4,3,4,2,2,1,3,1,1,1,1,4,2,2,2,2,2
R_OOwNuQVfmRhDgRj,19,2,6,2,3,4,1,1,2,2,3,3,2,1,3,3,3,4,2,4,4,2,4,1,2,2,4,2,1,2,1,1,2,1,1
R_2TGAgEIRo88lfZH,20,1,5,2,3,4,1,1,2,2,3,3,2,4,3,2,1,2,4,2,4,4,4,3,2,1,4,3,3,2,2,3,2,2,2
R_2D78WIQZEHSvtsk,19,2,2,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,3,3,2,2,2,4,1,1,1,1,1,4,4,4,4,2,4
R_z267CglxJfbeNHj,18,2,2,2,3,4,1,1,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,1,1,1,1,2,1,2,2,2,2,2,2
R_1lnpId69ae8Oy96,18,1,2,2,3,4,1,1,2,2,3,4,1,1,4,4,3,3,4,3,4,3,4,1,1,1,2,1,3,2,1,4,2,2,2
R_28M1oELp47DjuwU,18,1,4,2,1,4,1,1,2,2,3,4,2,2,4,4,4,2,2,4,1,2,1,1,3,3,3,2,3,2,2,1,4,4,1
R_2rOXgMt1m4ldFsR,19,2,1,1,2,3,4,1,2,2,4,1,4,3,2,1,4,2,3,4,3,3,3,2,3,4,2,3,2,1,4,2,4,3,2
R_3G0Mo4XWh73eEqy,18,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,2,3,2,3,2,3,4,2,4,4,4,4,1,1,1,1,1,1
R_DGeQy6wXjX3ETYt,18,2,5,1,2,3,4,1,2,2,4,2,2,3,2,2,2,4,1,4,1,4,1,3,3,1,4,3,3,1,1,1,1,1,1
R_1BXxq5zcrJOK9OC,19,1,2,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,1,4,4,4,4,1,2,1,1,1,1,1
R_2y2umXZAwhQN1hW,20,2,1,1,2,3,4,1,2,2,4,2,2,4,2,2,3,1,4,3,3,1,2,4,1,3,3,3,4,1,4,1,2,3,3
R_2rve84AhSW2Cnip,18,1,1,1,2,3,4,1,2,2,4,2,4,2,2,2,4,3,1,1,3,3,3,3,2,4,2,2,2,4,1,2,1,3,1
R_3rP6PM3o9CyqR32,18,1,1,1,2,3,4,1,2,2,4,2,2,3,2,2,2,2,4,3,3,4,1,4,1,4,1,4,4,3,4,4,3,1,3
R_1op8FjHmKGPDlrg,18,1,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,4,4,1,3,1,1,1,1
R_3QPhWyXReSAUPyV,19,2,4,1,2,3,4,1,2,2,4,2,1,3,2,2,2,1,1,1,4,1,1,1,4,4,3,4,4,4,1,3,1,1,1
R_3O9sDUE9Z1i7aqK,19,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,1,3,3,3,3,4,2,4,4,4,4,1,1,1,1,3,1
R_0CktArpn6yFoASJ,20,1,2,1,2,3,4,1,2,2,4,2,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1
R_3DimouvtvtoVIF3,19,2,1,1,2,3,4,1,2,2,4,2,1,1,2,2,1,3,3,3,3,3,3,1,4,4,4,4,4,1,1,1,1,1,1
R_12tcZIaRDsRNsA7,18,2,7,1,2,3,4,1,2,2,4,2,2,1,2,2,4,3,3,3,3,3,3,1,4,1,1,1,1,4,4,1,4,4,4
R_1LpWlfuyq1fgKGZ,19,2,6,1,2,3,4,1,2,2,4,2,4,3,4,2,1,3,1,3,3,2,2,1,2,2,1,2,2,3,1,1,3,1,2
R_AvZzfcaxJs8ayPf,18,2,1,1,2,3,4,1,2,2,4,2,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,3,1,1,1,1,1,1
R_SE23eoZvulrwEvv,18,2,1,1,2,3,4,1,2,2,4,3,2,2,2,2,1,4,3,3,1,1,3,1,2,4,3,1,3,1,1,3,1,3,1
R_9uwno24fVFCx45j,20,2,2,1,1,3,4,0.75,2,2,4,3,3,3,2,4,1,1,3,4,1,2,1,3,2,1,1,1,2,1,2,1,4,2,4
R_uxCucELFOepql4l,19,2,1,1,2,3,4,1,2,2,4,3,2,3,3,3,3,3,2,4,4,4,3,3,3,2,2,2,4,1,1,3,1,1,1
R_3gLrexHGjwNvXxe,22,1,1,1,2,3,4,1,2,2,4,3,1,2,2,4,1,2,3,1,3,2,2,3,3,1,3,3,2,2,4,3,3,4,2
R_eA1b4KHjA26mKfn,21,2,1,1,2,3,4,1,2,2,4,3,4,2,2,3,2,3,2,4,3,3,3,4,2,4,3,2,2,1,1,1,1,1,1
R_tMQX7EuIchnYxdT,18,1,4,1,2,3,4,1,2,2,4,4,3,4,1,2,2,3,3,2,3,4,3,3,3,4,4,2,1,1,2,3,1,2,1
R_3OfDBsD2Argrui2,19,1,1,1,2,3,4,1,2,2,4,4,1,2,2,4,4,3,3,2,3,3,2,1,2,4,2,4,4,1,1,1,1,1,1
R_Rl9DMTuxMJgk8Nz,19,2,1,1,2,3,4,1,2,2,4,4,2,2,2,2,1,1,3,3,2,3,4,3,4,3,1,4,4,1,2,1,1,1,1
R_2trq2YgGv7uHlV3,21,1,6,1,2,3,4,1,2,2,4,4,2,3,2,1,3,1,1,2,1,1,3,3,2,1,4,3,1,3,4,2,1,4,4
R_RC92UgHVWQgHgJj,19,2,7,1,1,3,4,0.75,2,2,4,4,2,3,4,3,3,4,1,1,3,4,3,1,4,4,3,2,4,2,2,2,2,2,4
R_27a5mHF02OyYuSm,18,2,2,1,2,3,4,1,2,2,4,4,3,4,4,4,4,1,1,2,2,2,2,2,3,2,2,1,3,4,2,1,3,1,1