"","X1.T1","ID","Animal.T1","Artifact.T1","Object.T1","Plant.T1","Biology.T1","Physics.T1","Psychology.T1","INT.T1","MCI.T1","age","sex","race","AC_1","AC_2","AC_3","AC_4","AC","Version.T1","Condition.T1","Order.T1","1_Test blockV1_INT.T1","2_Test blockV1_INT.T1","3_Test blockV1_INT.T1","4_Test blockV1_MCI.T1","5_Test blockV1_MCI.T1","6_Test blockV1_MCI.T1","7_Test blockV1_INT.T1","8_Test blockV1_INT.T1","9_Test blockV1_INT.T1","10_Test blockV1_MCI.T1","11_Test blockV1_MCI.T1","12_Test blockV1_MCI.T1","13_Test blockV1_INT.T1","14_Test blockV1_INT.T1","15_Test blockV1_INT.T1","16_Test blockV1_MCI.T1","17_Test blockV1_MCI.T1","18_Test blockV1_MCI.T1","19_Test blockV1_INT.T1","20_Test blockV1_INT.T1","21_Test blockV1_INT.T1","22_Test blockV1_MCI.T1","23_Test blockV1_MCI.T1","24_Test blockV1_MCI.T1","Breach.T1","Transfer.T1","X1.T2","Animal.T2","Artifact.T2","Object.T2","Plant.T2","Biology.T2","Physics.T2","Psychology.T2","INT.T2","MCI.T2","Age","Sex","Race","Version.T2","Condition.T2","Order.T2","1_Test blockV1_INT.T2","2_Test blockV1_INT.T2","3_Test blockV1_INT.T2","4_Test blockV1_MCI.T2","5_Test blockV1_MCI.T2","6_Test blockV1_MCI.T2","7_Test blockV1_INT.T2","8_Test blockV1_INT.T2","9_Test blockV1_INT.T2","10_Test blockV1_MCI.T2","11_Test blockV1_MCI.T2","12_Test blockV1_MCI.T2","13_Test blockV1_INT.T2","14_Test blockV1_INT.T2","15_Test blockV1_INT.T2","16_Test blockV1_MCI.T2","17_Test blockV1_MCI.T2","18_Test blockV1_MCI.T2","19_Test blockV1_INT.T2","20_Test blockV1_INT.T2","21_Test blockV1_INT.T2","22_Test blockV1_MCI.T2","23_Test blockV1_MCI.T2","24_Test blockV1_MCI.T2","Breach.T2","Transfer.T2"
"1",1,12,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.8,0.333333333333333,0.416666666666667,18,1,2,3,2,1,4,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,4,4,4,4,4,4,3,2,2,3,3,3,0.333333333333333,0.5,1,0,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.6,0.25,0.333333333333333,18,1,2,1,1,2,2,2,2,2,2,2,1,3,1,1,1,2,4,4,4,4,4,4,3,1,2,3,3,2,0.166666666666667,0.5
"2",2,102,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.5,0.4,0.333333333333333,0.5,18,1,1,4,3,2,1,1,2,1,3,4,4,3,3,1,3,2,3,1,3,4,1,1,2,4,1,3,1,2,2,3,4,4,2,0.666666666666667,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,170,1,1,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.8,1,0.75,19,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,3,4,4,1,1,1,1,2,1,0.833333333333333,0.666666666666667,2,1,1,0.666666666666667,1,1,1,0.8,0.666666666666667,0.916666666666667,19,2,6,2,1,4,2,2,2,2,2,2,1,3,2,3,3,2,2,2,4,4,4,4,1,1,1,1,1,1,1,0.833333333333333
"4",4,178,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.333333333333333,0.166666666666667,18,2,6,4,1,3,4,0.5,1,2,1,3,1,1,3,3,4,4,4,3,1,3,1,2,2,2,2,3,1,3,4,4,1,4,3,0.166666666666667,0.166666666666667,3,0,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.4,0.416666666666667,0.416666666666667,18,2,6,1,2,1,2,3,1,4,1,1,2,3,1,4,3,3,3,3,3,1,4,3,2,2,2,4,4,1,0.333333333333333,0.5
"5",5,280,0.333333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.6,0.583333333333333,0.666666666666667,21,1,2,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,4,1,4,4,4,2,2,2,4,2,1,2,1,2,2,1,1,0.666666666666667,0.666666666666667,4,0.666666666666667,0.333333333333333,0,0.666666666666667,0.666666666666667,0.5,0.2,0.666666666666667,0.416666666666667,21,1,2,2,1,3,3,4,3,3,3,3,4,4,4,4,3,1,1,4,1,2,2,2,1,4,2,4,4,2,0.666666666666667,0.166666666666667
"6",6,397,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,19,1,6,1,2,3,4,1,2,2,4,1,2,4,4,4,2,4,2,3,1,4,4,3,3,1,2,3,3,3,2,3,1,2,3,0.166666666666667,0.166666666666667,5,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.5,0.2,0.416666666666667,0.25,19,1,6,2,2,4,2,2,2,1,3,1,3,4,3,3,4,4,3,2,2,1,4,3,3,3,3,1,4,3,0.333333333333333,0.166666666666667
"7",7,464,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.8,0.583333333333333,0.583333333333333,19,2,4,4,3,2,1,1,2,1,3,3,2,3,3,1,3,2,2,4,3,4,3,4,1,4,1,3,3,2,2,2,2,2,2,0.5,0.666666666666667,6,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.6,0.5,0.5,19,2,4,2,1,3,3,4,3,3,1,3,2,1,1,3,3,4,4,1,4,1,3,3,2,2,2,2,4,2,0.5,0.5
"8",8,548,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333,0.25,0.8,0.416666666666667,0.5,21,2,1,3,2,1,4,1,1,1,2,3,1,4,4,3,1,1,3,3,1,1,1,2,2,4,4,4,1,3,4,4,3,3,2,0.333333333333333,0.666666666666667,7,0.666666666666667,0,0,0.333333333333333,0.666666666666667,0.25,0,0.166666666666667,0.25,21,2,1,1,1,2,1,3,3,4,2,1,4,3,2,2,3,2,1,2,3,2,2,3,2,4,3,1,4,1,0.333333333333333,0.166666666666667
"9",9,553,0.333333333333333,0,1,0.666666666666667,0.333333333333333,0.25,0.8,0.25,0.5,19,2,2,4,1,2,3,1,1,2,1,4,4,2,4,4,2,4,4,3,2,1,2,4,3,4,3,2,1,1,4,4,4,4,4,0.333333333333333,0.666666666666667,8,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.25,0.4,0.25,0.416666666666667,19,2,2,1,2,1,1,3,2,1,1,4,3,4,1,2,2,3,3,3,2,4,1,1,1,2,1,4,3,2,0.333333333333333,0.5
"10",10,673,0.666666666666667,0.666666666666667,1,1,1,0.75,0.8,0.833333333333333,0.833333333333333,19,1,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,3,3,4,3,4,4,1,4,4,4,0.833333333333333,0.833333333333333,9,0.666666666666667,1,1,0.666666666666667,1,0.5,1,0.666666666666667,0.833333333333333,19,1,1,1,2,1,1,2,1,1,1,1,4,2,2,3,2,2,3,3,3,3,2,3,2,4,1,4,4,4,0.666666666666667,1
"11",11,691,0,0.333333333333333,1,0.666666666666667,0.333333333333333,0.5,0.6,0.5,0.5,19,2,7,1,4,3,2,1,2,1,4,2,3,2,4,2,2,4,3,4,3,4,3,3,1,3,3,2,2,1,1,1,1,1,2,0.333333333333333,0.666666666666667,10,0.333333333333333,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.4,0.666666666666667,0.666666666666667,19,2,7,2,1,4,2,3,2,3,2,2,3,3,3,3,4,4,3,1,3,4,4,4,1,1,1,1,1,2,0.666666666666667,0.666666666666667
"12",12,700,1,0,1,0.666666666666667,0.666666666666667,0.5,0.8,0.666666666666667,0.666666666666667,19,2,1,1,2,3,4,1,2,2,4,3,1,2,2,3,2,3,3,3,2,2,3,4,1,4,4,4,2,1,3,1,1,1,1,0.666666666666667,0.666666666666667,11,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.5,0.4,0.666666666666667,0.333333333333333,19,2,1,2,2,4,1,2,2,3,3,2,3,3,3,4,2,3,4,1,4,3,4,3,2,2,1,1,2,3,0.333333333333333,0.333333333333333
"13",13,823,0.333333333333333,0.333333333333333,1,0.666666666666667,0.666666666666667,0.25,0.8,0.166666666666667,0.583333333333333,18,2,7,1,2,3,4,1,2,2,4,3,3,2,2,1,2,2,1,4,2,3,3,1,4,1,4,2,1,2,4,3,1,1,3,0.333333333333333,0.833333333333333,12,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.4,0.416666666666667,0.25,18,2,7,2,2,4,1,2,3,3,2,4,1,3,3,1,4,2,4,4,2,1,2,2,4,4,2,1,4,1,0.166666666666667,0.333333333333333
"14",14,833,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.6,0.583333333333333,0.583333333333333,18,2,1,1,4,3,2,1,2,1,4,2,1,3,3,2,2,1,3,3,2,2,4,2,4,4,4,4,1,1,1,4,1,1,1,0.5,0.666666666666667,13,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.166666666666667,0.166666666666667,18,2,1,2,1,4,3,1,3,4,3,4,1,3,4,4,2,2,2,2,1,2,4,3,1,2,2,1,3,2,0.166666666666667,0.166666666666667
"15",15,921,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.75,0.2,0.416666666666667,0.5,19,2,1,3,4,1,2,1,1,2,2,3,1,4,4,4,3,3,3,1,1,3,3,3,2,2,1,2,2,4,3,1,3,4,2,0.666666666666667,0.333333333333333,14,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.4,0.5,0.5,19,2,1,1,2,2,1,2,4,4,4,4,3,1,1,4,3,3,3,2,2,4,1,2,1,3,4,3,3,1,0.5,0.5
"16",16,928,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5,1,0.333333333333333,0.75,19,2,4,2,3,4,1,1,2,2,3,3,2,2,3,3,3,1,1,1,4,4,4,1,4,4,4,4,4,3,2,2,2,2,2,0.666666666666667,0.833333333333333,15,1,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.8,0.75,0.583333333333333,19,2,4,2,2,3,3,3,3,3,2,3,4,4,4,1,4,2,4,1,1,4,1,4,1,3,2,2,2,2,0.666666666666667,0.5
"17",17,941,0,0,0.333333333333333,0.666666666666667,0,0.5,0.2,0.166666666666667,0.25,18,1,2,1,2,3,4,1,2,2,4,2,1,4,1,4,2,4,1,3,3,1,3,2,2,2,2,2,2,4,4,4,4,4,4,0.333333333333333,0.166666666666667,16,0,0.333333333333333,0,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,18,1,2,2,2,4,3,2,1,1,4,2,4,3,4,1,3,2,3,2,2,1,1,1,2,2,4,4,2,4,0.166666666666667,0.166666666666667
"18",18,969,0,1,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.4,0.666666666666667,0.5,18,2,5,2,3,4,1,1,2,2,3,2,4,3,2,3,2,4,4,4,4,4,4,1,4,1,1,4,1,2,1,2,3,4,3,0.333333333333333,0.666666666666667,17,0,0.666666666666667,0,0.333333333333333,0,0.5,0.2,0.333333333333333,0.25,18,2,5,2,2,3,2,1,4,2,2,4,4,4,2,4,4,1,1,3,4,2,3,1,2,3,3,3,4,4,0.333333333333333,0.166666666666667
"19",19,986,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.666666666666667,0.833333333333333,18,2,5,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,4,2,3,1,1,2,2,2,3,3,3,3,3,3,1,0.666666666666667,18,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0.25,0.4,0.5,0.5,18,2,5,1,1,2,4,4,4,4,4,1,3,4,1,2,3,3,3,2,4,2,2,1,4,3,1,3,3,1,0.333333333333333,0.666666666666667
"20",20,1026,0,0,0.666666666666667,0,0,0,0.4,0.25,0.166666666666667,19,2,6,4,3,2,1,1,2,1,3,2,2,2,4,4,1,3,1,3,1,3,3,2,1,4,4,4,4,2,2,3,2,2,1,0,0.333333333333333,19,0.333333333333333,0,0.666666666666667,0,0,0,0.6,0.333333333333333,0.25,19,2,6,2,1,3,3,2,2,4,1,1,1,1,3,1,3,2,2,1,1,3,4,4,2,1,3,2,2,2,0.166666666666667,0.333333333333333
"21",21,1041,0.666666666666667,0.666666666666667,0.333333333333333,1,1,0.75,0.4,0.666666666666667,0.666666666666667,18,2,1,2,1,4,3,1,1,1,1,1,4,1,1,1,1,3,2,1,2,4,3,3,3,4,3,1,3,4,4,4,4,2,4,0.833333333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,1108,1,0.666666666666667,0,0.666666666666667,1,0.75,0.2,0.5,0.583333333333333,19,2,1,3,2,1,4,1,1,1,2,3,1,2,4,4,4,3,1,4,3,3,3,2,2,2,2,2,2,3,3,4,1,1,3,0.833333333333333,0.333333333333333,20,0.333333333333333,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.6,0.583333333333333,0.666666666666667,19,2,1,1,1,2,3,1,4,1,3,4,3,1,4,1,1,1,2,2,2,2,2,2,3,4,3,3,1,4,0.666666666666667,0.666666666666667
"23",23,1114,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0.75,0.2,0.416666666666667,0.5,19,2,1,4,3,2,1,1,2,1,3,3,1,1,3,3,3,4,4,2,4,2,2,2,3,1,3,2,1,3,2,3,1,1,2,0.833333333333333,0.166666666666667,21,0.333333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,0.5,0.6,0.25,0.583333333333333,19,2,1,2,1,3,1,2,2,1,3,3,4,4,2,4,1,3,3,3,2,1,2,3,1,2,3,2,2,2,0.5,0.666666666666667
"24",24,1118,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,1,0.4,0.583333333333333,0.5,19,2,1,2,3,4,2,0.75,2,2,3,2,3,2,2,2,3,4,4,3,4,4,4,1,1,1,4,1,1,3,3,2,3,3,3,0.666666666666667,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,1154,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.916666666666667,0.833333333333333,19,1,1,1,2,3,4,1,2,2,4,2,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0.666666666666667,22,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.583333333333333,0.833333333333333,19,1,1,2,2,4,2,4,2,2,2,2,3,3,4,3,4,3,3,1,3,4,4,4,1,1,1,4,1,1,1,0.666666666666667
"26",26,1181,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.8,0.5,0.666666666666667,18,2,2,2,1,4,3,1,1,1,1,4,3,3,3,1,4,2,2,1,4,2,4,3,4,3,3,3,3,2,4,4,4,4,4,0.5,0.833333333333333,23,1,0.666666666666667,0.666666666666667,0.333333333333333,1,0.5,0.6,0.666666666666667,0.666666666666667,18,2,2,1,1,1,1,1,3,1,1,4,2,2,1,3,4,4,3,3,3,3,3,3,2,2,4,4,4,4,0.666666666666667,0.666666666666667
"27",27,1234,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.583333333333333,0.5,18,1,5,2,1,4,3,1,1,1,1,1,1,3,4,1,1,2,1,3,1,2,2,4,3,4,4,3,4,4,4,4,4,2,1,0.333333333333333,0.666666666666667,24,0.333333333333333,1,1,1,0.666666666666667,1,0.8,0.583333333333333,0.833333333333333,18,1,5,1,1,1,1,1,4,3,1,1,2,2,3,2,2,2,4,3,2,3,3,3,1,4,4,4,4,2,0.666666666666667,1
"28",28,1237,0.333333333333333,0.666666666666667,0,0.666666666666667,1,0.25,0.2,0.166666666666667,0.416666666666667,18,2,2,2,3,4,1,1,2,2,3,3,2,3,3,3,3,1,2,1,1,4,1,2,2,2,1,2,2,3,4,4,4,1,4,0.333333333333333,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,1246,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.6,0.583333333333333,0.5,21,1,5,2,1,4,3,1,1,1,1,2,1,1,4,2,1,3,2,1,1,3,1,2,3,3,3,1,3,3,4,4,4,4,4,0.5,0.5,25,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0.5,0.2,0.333333333333333,0.5,21,1,5,1,1,1,1,1,3,1,1,1,3,4,3,4,4,2,2,4,3,3,4,3,3,2,4,2,3,2,0.5,0.5
"30",30,1300,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,0.75,0.6,0.5,0.666666666666667,18,2,1,3,2,1,4,1,1,1,2,3,4,2,3,4,4,3,1,3,1,1,3,3,2,2,2,2,4,3,3,4,4,3,3,0.666666666666667,0.666666666666667,26,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.6,0.416666666666667,0.583333333333333,18,2,1,1,1,2,3,4,3,1,4,2,1,1,4,1,1,3,3,2,3,2,2,4,3,1,4,4,3,3,0.5,0.666666666666667
"31",31,1333,0.666666666666667,1,1,1,1,0.75,1,1,0.916666666666667,18,2,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,3,4,4,4,4,4,4,0.833333333333333,1,27,1,1,1,1,1,1,1,0.916666666666667,1,18,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,4,4,4,4,4,1,1
"32",32,1382,0,0,0.666666666666667,0.333333333333333,0,0.25,0.4,0.25,0.25,18,2,1,3,4,1,2,1,1,2,2,1,3,2,2,2,4,1,4,2,2,4,4,4,4,2,1,4,1,3,4,1,3,3,1,0.166666666666667,0.333333333333333,28,0.333333333333333,0,0.333333333333333,0,0,0,0.4,0.333333333333333,0.166666666666667,18,2,1,1,2,2,1,2,3,3,1,3,2,3,1,4,4,2,1,4,2,1,4,4,4,3,3,4,3,3,0.166666666666667,0.166666666666667
"33",33,1403,0.666666666666667,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.8,0.583333333333333,0.75,22,1,5,3,4,1,2,1,1,2,2,3,4,4,1,3,4,3,1,3,1,1,1,2,2,3,2,2,2,3,1,3,3,1,3,0.833333333333333,0.666666666666667,29,0.333333333333333,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.4,0.583333333333333,0.583333333333333,22,1,5,1,2,2,3,4,4,1,3,4,3,1,1,1,1,2,2,4,1,2,2,2,3,2,3,2,3,1,0.666666666666667,0.5
"34",34,1470,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0,1,0.666666666666667,0.666666666666667,20,2,1,4,3,2,1,1,2,1,3,3,3,3,3,3,4,4,2,1,3,4,4,1,3,2,1,3,3,2,2,2,2,2,2,0.333333333333333,1,30,1,0.666666666666667,1,0,0.333333333333333,0.5,1,0.583333333333333,0.666666666666667,20,2,1,2,1,3,3,3,4,3,4,2,2,3,3,1,4,4,1,1,2,3,1,1,2,2,2,2,2,2,0.666666666666667,0.666666666666667
"35",35,1522,0.333333333333333,0.333333333333333,1,1,0.666666666666667,0.5,0.8,0.666666666666667,0.666666666666667,19,2,6,3,2,1,4,1,1,1,2,4,4,1,3,4,4,1,3,1,1,4,1,2,2,2,2,4,4,4,3,4,3,3,3,0.5,0.833333333333333,31,0,0.333333333333333,1,1,0.666666666666667,0.5,0.6,0.666666666666667,0.583333333333333,19,2,6,1,1,2,4,4,1,3,4,4,1,1,1,1,4,1,2,2,3,2,3,4,4,3,4,3,3,2,0.333333333333333,0.833333333333333
"36",36,1618,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.2,0.25,0.25,19,2,1,4,3,2,1,1,2,1,3,1,3,1,1,3,1,4,4,2,4,2,4,2,2,2,2,2,2,3,3,3,3,3,3,0.166666666666667,0.333333333333333,32,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.4,0.25,0.25,19,2,1,2,1,3,1,3,1,1,1,1,4,4,2,4,4,4,2,2,2,4,2,2,3,3,1,3,3,1,0.166666666666667,0.333333333333333
"37",37,1699,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.416666666666667,0.5,19,2,2,1,2,3,4,1,2,2,4,2,3,3,3,3,3,3,2,2,2,3,1,4,3,4,4,4,4,3,1,2,1,1,3,0.333333333333333,0.666666666666667,33,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.4,0.416666666666667,0.333333333333333,19,2,2,2,2,4,3,1,2,1,3,4,2,3,1,2,3,1,4,3,2,4,2,4,1,1,3,4,1,2,0.166666666666667,0.5
"38",38,1736,1,0.666666666666667,1,1,1,1,0.8,0.583333333333333,0.916666666666667,20,2,2,2,1,4,3,1,1,1,1,1,1,4,1,1,1,2,4,2,2,1,2,4,3,4,3,3,3,1,4,4,4,4,4,1,0.833333333333333,34,1,0.666666666666667,0.333333333333333,0.666666666666667,1,0.75,0.4,0.5,0.666666666666667,20,2,2,1,1,1,1,1,1,1,1,4,2,4,1,2,1,4,4,3,4,3,3,3,1,4,1,2,4,4,0.833333333333333,0.5
