ID,Age,Sex,Race,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
12,18,1,2,1,1,2,2,2,2,2,2,2,1,3,1,1,1,2,4,4,4,4,4,4,3,1,2,3,3,2
170,19,2,6,2,1,4,2,2,2,2,2,2,1,3,2,3,3,2,2,2,4,4,4,4,1,1,1,1,1,1
178,18,2,6,1,2,1,2,3,1,4,1,1,2,3,1,4,3,3,3,3,3,1,4,3,2,2,2,4,4,1
280,21,1,2,2,1,3,3,4,3,3,3,3,4,4,4,4,3,1,1,4,1,2,2,2,1,4,2,4,4,2
397,19,1,6,2,2,4,2,2,2,1,3,1,3,4,3,3,4,4,3,2,2,1,4,3,3,3,3,1,4,3
464,19,2,4,2,1,3,3,4,3,3,1,3,2,1,1,3,3,4,4,1,4,1,3,3,2,2,2,2,4,2
548,21,2,1,1,1,2,1,3,3,4,2,1,4,3,2,2,3,2,1,2,3,2,2,3,2,4,3,1,4,1
673,19,1,1,1,2,1,1,2,1,1,1,1,4,2,2,3,2,2,3,3,3,3,2,3,2,4,1,4,4,4
691,19,2,7,2,1,4,2,3,2,3,2,2,3,3,3,3,4,4,3,1,3,4,4,4,1,1,1,1,1,2
700,19,2,1,2,2,4,1,2,2,3,3,2,3,3,3,4,2,3,4,1,4,3,4,3,2,2,1,1,2,3
823,18,2,7,2,2,4,1,2,3,3,2,4,1,3,3,1,4,2,4,4,2,1,2,2,4,4,2,1,4,1
833,18,2,1,2,1,4,3,1,3,4,3,4,1,3,4,4,2,2,2,2,1,2,4,3,1,2,2,1,3,2
921,19,2,1,1,2,2,1,2,4,4,4,4,3,1,1,4,3,3,3,2,2,4,1,2,1,3,4,3,3,1
928,19,2,4,2,2,3,3,3,3,3,2,3,4,4,4,1,4,2,4,1,1,4,1,4,1,3,2,2,2,2
941,18,1,2,2,2,4,3,2,1,1,4,2,4,3,4,1,3,2,3,2,2,1,1,1,2,2,4,4,2,4
969,18,2,5,2,2,3,2,1,4,2,2,4,4,4,2,4,4,1,1,3,4,2,3,1,2,3,3,3,4,4
986,18,2,5,1,1,2,4,4,4,4,4,1,3,4,1,2,3,3,3,2,4,2,2,1,4,3,1,3,3,1
1026,19,2,6,2,1,3,3,2,2,4,1,1,1,1,3,1,3,2,2,1,1,3,4,4,2,1,3,2,2,2
1108,19,2,1,1,1,2,3,1,4,1,3,4,3,1,4,1,1,1,2,2,2,2,2,2,3,4,3,3,1,4
1114,19,2,1,2,1,3,1,2,2,1,3,3,4,4,2,4,1,3,3,3,2,1,2,3,1,2,3,2,2,2
1154,19,1,1,2,2,4,2,4,2,2,2,2,3,3,4,3,4,3,3,1,3,4,4,4,1,1,1,4,1,1
1181,18,2,2,1,1,1,1,1,3,1,1,4,2,2,1,3,4,4,3,3,3,3,3,3,2,2,4,4,4,4
1234,18,1,5,1,1,1,1,1,4,3,1,1,2,2,3,2,2,2,4,3,2,3,3,3,1,4,4,4,4,2
1246,21,1,5,1,1,1,1,1,3,1,1,1,3,4,3,4,4,2,2,4,3,3,4,3,3,2,4,2,3,2
1300,18,2,1,1,1,2,3,4,3,1,4,2,1,1,4,1,1,3,3,2,3,2,2,4,3,1,4,4,3,3
1333,18,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,4,4,4,4,4
1382,18,2,1,1,2,2,1,2,3,3,1,3,2,3,1,4,4,2,1,4,2,1,4,4,4,3,3,4,3,3
1470,20,2,1,2,1,3,3,3,4,3,4,2,2,3,3,1,4,4,1,1,2,3,1,1,2,2,2,2,2,2
1522,19,2,6,1,1,2,4,4,1,3,4,4,1,1,1,1,4,1,2,2,3,2,3,4,4,3,4,3,3,2
1618,19,2,1,2,1,3,1,3,1,1,1,1,4,4,2,4,4,4,2,2,2,4,2,2,3,3,1,3,3,1
1699,19,2,2,2,2,4,3,1,2,1,3,4,2,3,1,2,3,1,4,3,2,4,2,4,1,1,3,4,1,2
1736,20,2,2,1,1,1,1,1,1,1,1,4,2,4,1,2,1,4,4,3,4,3,3,3,1,4,1,2,4,4
1766,20,1,1,1,2,2,3,1,3,4,4,1,1,1,3,2,1,3,3,1,3,2,2,2,1,3,2,1,3,3
2002,18,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,4,4,2,2,4,4,3,3,2,3,3,1
2114,21,2,4,1,2,4,2,4,2,1,4,3,1,1,2,1,2,2,2,2,2,1,2,2,3,1,3,3,3,1
2142,19,2,2,2,2,3,3,4,3,3,3,2,2,3,4,1,4,4,1,3,1,2,4,3,2,3,3,3,2,4
2163,18,1,1,2,1,3,3,1,3,3,3,2,4,2,3,4,4,4,1,4,2,1,1,3,2,2,2,2,2,2
2249,19,2,2,1,2,2,3,1,1,1,1,4,3,2,4,3,4,4,2,2,2,2,2,2,3,2,3,3,3,3
2333,18,1,1,2,1,3,4,3,2,4,4,3,4,3,4,3,3,2,1,1,1,1,1,1,3,3,4,2,2,2
2385,21,2,5,1,2,2,4,1,2,4,4,1,1,1,3,1,2,3,3,2,3,2,2,2,3,1,3,3,3,2
2394,19,1,1,1,2,2,3,4,3,1,2,4,1,4,4,3,2,2,4,3,2,1,2,3,3,2,3,1,3,2
2418,18,2,1,1,2,1,2,3,2,2,2,2,3,2,2,1,3,2,1,2,3,3,1,1,4,4,4,2,4,2
2419,18,2,2,1,1,1,1,3,3,3,1,4,2,4,4,4,2,1,3,4,2,3,2,1,2,2,3,4,3,4
2433,18,2,1,1,2,1,2,2,4,4,1,3,4,1,2,3,4,2,3,3,3,1,3,4,1,1,4,4,2,4
2437,18,2,1,2,1,4,3,2,4,3,3,2,3,1,2,4,2,1,3,3,4,4,1,1,2,3,2,2,1,4
2462,19,2,1,2,1,3,4,1,2,3,4,4,2,1,4,1,4,4,1,3,1,2,1,1,4,2,2,1,2,2
2496,18,1,1,1,1,1,3,1,4,1,3,3,4,1,4,1,1,2,3,2,4,3,4,2,4,1,3,3,1,1
2552,19,2,1,2,2,3,3,3,3,1,4,2,4,4,3,4,3,2,1,4,1,2,1,3,2,1,2,2,2,2
2643,20,1,6,1,1,2,4,3,2,4,1,4,3,3,3,1,1,1,3,2,2,2,2,2,1,1,2,3,3,1
2777,19,2,1,1,1,1,3,1,1,2,3,1,2,1,1,2,2,2,4,4,1,4,4,4,1,3,1,3,3,3
2858,21,2,6,1,1,2,4,3,3,4,4,1,1,3,2,1,1,1,1,3,2,3,2,2,4,1,2,3,1,2
2880,19,2,1,1,1,1,4,1,2,4,4,3,2,2,1,2,2,2,1,3,4,1,3,3,2,1,3,1,1,1
2963,18,2,1,2,2,3,2,1,2,3,1,2,1,2,3,3,4,1,1,1,1,1,1,1,4,3,2,4,2,3
2967,20,2,5,2,1,3,4,2,1,3,3,2,4,1,2,2,1,1,1,3,2,1,1,4,1,4,1,4,4,4
3001,18,1,2,2,1,3,3,3,1,3,4,3,4,3,3,3,2,4,1,1,3,1,1,4,3,2,4,2,2,2
3036,21,2,2,2,2,4,3,2,2,3,3,2,2,4,3,2,2,1,1,1,4,1,4,4,3,1,3,2,1,3
3042,19,2,1,1,2,1,1,4,1,1,1,3,4,2,4,2,2,3,3,2,3,2,1,1,1,3,1,4,4,3
3045,20,2,1,1,2,1,2,4,2,3,2,2,1,2,3,4,4,4,3,1,3,1,3,3,4,2,4,1,3,1
3054,18,2,1,2,2,3,4,3,2,4,1,4,2,2,1,1,1,2,3,1,3,2,1,3,4,2,3,3,3,3
3092,18,2,7,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
3124,18,2,4,1,1,1,3,3,3,3,3,3,4,1,4,1,4,4,2,4,1,2,2,2,3,2,4,1,1,2
3137,18,2,1,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,3,3,4,2,3,3,4,4,4,4,4,4
3163,18,2,6,1,1,1,3,4,2,2,3,1,4,2,1,2,2,4,1,3,2,4,3,2,4,1,1,4,4,3
3287,18,2,7,1,2,2,4,4,4,1,4,2,3,3,4,2,2,3,3,2,3,1,4,2,1,3,4,1,1,1
3365,18,2,1,2,2,3,4,1,4,2,3,3,2,3,4,4,3,2,1,4,1,3,3,1,4,2,2,2,4,4
3422,18,1,7,1,2,1,3,4,2,3,1,2,4,4,4,4,2,2,3,3,2,3,1,2,2,2,2,3,2,3
3540,19,1,1,1,2,2,3,3,3,2,4,2,3,1,2,1,4,4,4,4,1,3,4,4,2,1,2,1,3,4
3613,18,1,1,2,1,4,2,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,1,4,1,1,2,1,1,1
3703,18,2,2,1,2,1,1,1,2,4,3,1,2,2,4,3,2,2,2,3,4,3,4,3,4,4,4,1,2,4
3704,19,2,2,2,1,4,2,2,1,2,2,2,3,1,4,3,1,3,4,4,4,4,4,4,1,1,2,1,1,3
3716,18,1,2,2,2,4,1,3,1,1,1,1,2,1,4,3,2,4,3,1,2,4,4,4,2,2,1,3,2,3
3776,18,2,6,2,1,4,2,2,1,2,2,3,2,3,2,3,2,4,4,1,1,2,4,4,2,1,2,1,1,3
3802,18,2,6,1,1,1,2,2,1,1,1,1,4,3,2,2,1,1,3,2,4,3,3,1,2,4,4,4,4,4
4046,18,2,6,2,2,3,3,2,4,2,2,3,4,1,2,4,1,4,4,4,4,4,3,2,3,3,4,4,2,1
4055,18,2,2,2,2,4,2,3,2,3,2,2,3,4,4,3,3,2,3,3,4,1,4,4,1,1,1,1,1,1
4070,18,1,1,2,2,4,2,1,2,2,2,2,3,3,4,3,3,3,4,4,2,4,4,4,1,1,1,1,1,1
4105,18,2,1,2,1,3,3,2,2,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,3,2,2,2
4161,19,2,5,1,2,1,3,2,3,1,3,2,1,2,1,1,2,2,4,2,2,1,3,2,3,4,3,4,4,4
4182,18,2,2,1,2,2,3,3,2,1,2,2,1,4,2,4,1,3,3,4,3,1,2,2,4,1,4,3,1,4
4183,21,2,1,2,2,4,2,1,1,2,3,2,2,3,1,4,3,3,4,3,3,3,4,2,2,1,4,1,3,3
4191,20,2,6,2,1,3,3,4,3,2,3,1,1,1,3,3,4,1,4,2,1,3,3,1,2,2,3,2,2,2
4204,19,2,4,2,1,3,1,4,4,2,3,4,4,3,2,4,3,4,2,3,3,4,2,3,4,2,3,4,3,3
4221,18,2,6,1,2,2,4,4,4,2,4,4,1,1,4,1,1,1,2,2,2,2,2,4,3,3,3,3,3,3
4259,18,2,5,1,1,1,1,1,1,1,3,3,3,1,2,2,1,4,4,2,2,2,3,3,2,4,1,1,1,1
4296,18,2,6,1,1,1,1,4,1,1,1,1,2,2,1,2,2,2,3,3,2,3,2,3,2,4,4,4,4,4
4626,19,1,1,1,2,2,4,4,1,3,4,1,1,1,1,4,1,1,2,2,2,2,4,2,3,3,3,3,1,3
4689,19,2,2,1,1,2,4,3,3,4,4,2,1,1,2,2,1,1,2,2,3,2,2,4,1,3,4,4,1,3
4718,18,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,4,4,3,4,3,4,1,3,3,3,3,2
4878,18,2,2,1,1,1,3,4,2,2,1,3,4,4,2,4,1,4,4,4,2,2,3,1,1,1,4,3,3,3
4889,19,2,1,2,2,4,2,2,3,2,2,2,3,3,2,1,3,1,4,1,4,4,4,4,4,1,2,1,1,1
4942,18,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,3,3,3,3,3,3,4,4,4,4,1,1
5093,18,1,2,1,2,1,4,4,4,4,4,3,3,3,4,3,1,3,1,2,1,3,2,2,1,1,4,4,3,3
5105,21,2,1,2,1,4,4,1,3,2,4,1,1,4,4,1,3,3,3,2,2,2,2,2,1,3,1,1,1,1
5182,21,1,1,2,1,4,2,1,4,2,3,2,4,3,4,3,3,2,1,2,4,3,3,4,1,3,4,1,1,1
5404,18,1,6,1,1,2,4,4,3,3,4,2,1,1,4,1,4,1,3,2,4,2,2,1,4,3,4,3,3,3
5466,19,2,1,1,2,1,1,1,1,1,4,2,1,4,1,3,2,4,4,3,3,3,3,3,2,1,4,4,4,4
5497,18,1,6,1,2,2,1,3,4,4,1,3,1,3,4,2,4,2,2,2,3,3,1,2,1,3,4,4,3,3
5498,17,2,1,2,1,4,3,4,2,1,4,2,4,3,2,3,1,3,2,4,2,4,1,3,1,4,1,2,3,3
5522,19,1,4,2,2,3,2,1,1,2,3,2,3,4,3,2,2,3,1,4,2,1,4,2,4,3,4,3,3,4
5652,23,1,2,2,1,4,2,3,3,4,1,1,4,2,3,3,2,3,2,3,2,1,2,3,1,1,2,3,4,4
5654,17,2,6,1,2,2,1,4,3,4,3,4,2,1,4,3,3,2,1,2,2,3,3,2,1,3,1,1,1,1
5668,19,2,6,1,1,1,3,3,1,1,1,1,2,2,1,2,3,2,4,4,4,4,4,4,1,3,3,3,3,3
5715,19,1,6,2,1,4,2,2,3,2,2,3,3,3,1,3,3,1,1,2,4,3,4,4,1,3,4,2,3,1
5759,19,2,6,1,1,4,2,4,3,3,1,2,2,2,3,2,1,1,1,4,2,2,3,2,3,3,3,4,4,1
5830,20,2,1,2,2,4,1,2,3,1,1,3,3,1,4,2,4,4,3,2,3,4,4,4,1,2,4,3,3,2
5840,20,2,1,2,1,3,2,3,3,2,2,3,2,2,4,1,4,2,2,2,3,4,2,3,3,3,4,3,3,4
5878,20,2,5,1,2,2,3,3,2,1,3,3,4,2,3,2,3,1,2,3,2,2,3,3,3,2,2,2,4,4
6028,20,2,1,2,1,4,1,4,2,1,1,2,4,1,2,3,1,3,2,2,4,4,4,2,1,2,3,1,3,3
6031,19,2,7,1,1,1,3,4,4,3,1,2,2,1,3,4,4,2,2,4,2,2,4,1,4,3,2,1,4,3
6071,18,1,2,1,1,2,1,1,4,4,4,3,1,3,1,1,4,1,2,2,3,4,2,4,1,2,1,3,3,1
6115,20,2,2,1,2,2,3,2,3,2,1,2,4,3,3,1,4,1,1,1,4,2,3,4,3,2,1,4,3,2
6163,18,2,1,2,1,4,2,1,2,2,2,2,3,2,4,3,3,3,4,4,4,3,2,4,1,1,1,1,1,1
6169,18,1,6,2,1,3,1,3,3,1,1,1,4,4,1,4,3,4,3,2,2,2,2,2,3,4,1,3,3,3
6178,18,1,2,2,2,4,3,2,4,4,4,3,4,3,4,3,3,3,3,1,1,1,1,4,1,1,1,2,2,4
6184,18,2,6,1,2,1,1,4,3,2,1,2,2,2,2,3,3,2,4,2,3,2,4,1,4,4,1,2,4,2
6228,19,2,2,1,1,2,4,2,4,2,4,2,2,2,4,3,4,2,1,1,2,2,4,4,3,3,2,3,3,1
6361,18,2,2,1,1,1,1,3,1,1,1,3,3,1,4,2,1,1,3,4,2,4,2,2,1,3,2,3,3,2
6385,17,2,2,2,2,3,3,1,4,2,4,1,3,4,4,3,2,2,1,4,2,2,3,3,2,3,4,1,1,1
6412,18,2,1,1,1,1,1,2,1,1,1,1,2,4,1,4,4,2,2,3,3,3,1,3,4,2,4,2,2,2
6429,18,2,2,2,1,4,2,1,4,2,2,4,3,3,3,3,3,4,1,1,1,1,1,1,4,4,4,1,4,3
6435,18,2,6,2,1,4,2,1,2,3,2,2,4,1,3,1,4,4,1,1,3,4,3,4,4,1,3,1,1,1
6467,20,2,6,2,2,3,4,3,4,2,4,4,2,4,2,3,2,3,1,1,1,4,1,1,3,3,3,3,3,4
6482,18,2,2,1,1,2,2,1,1,3,1,4,2,1,4,4,1,4,3,3,3,2,1,4,3,2,3,2,4,2
6522,18,2,2,1,2,1,1,1,1,1,1,4,2,3,2,3,1,3,2,2,3,1,3,3,4,4,4,4,4,4
6672,18,2,2,2,2,4,2,3,2,2,2,2,3,4,3,3,3,3,3,3,1,4,4,4,1,1,1,1,1,1
6828,18,2,1,2,1,4,3,3,2,2,3,4,3,3,2,3,4,1,4,2,3,1,4,4,1,1,3,1,1,3
6898,20,2,6,2,2,3,3,2,2,1,3,2,4,3,4,4,4,4,2,1,2,1,3,1,1,2,3,2,2,2
6945,19,1,1,1,1,2,2,4,1,1,2,1,4,4,3,2,3,3,3,1,2,3,1,2,3,4,2,4,4,1
6967,18,1,6,1,2,1,4,2,1,4,2,3,3,2,2,2,1,1,3,3,1,3,2,2,3,3,3,4,4,2
6979,18,1,6,2,1,3,3,3,1,3,4,4,2,3,3,4,3,2,4,4,1,2,1,1,2,2,2,2,2,2
7067,18,2,1,2,2,3,3,4,1,3,3,3,1,1,1,3,1,1,4,1,3,4,4,4,2,2,3,2,2,2
7108,18,2,2,2,2,3,3,3,4,3,3,3,4,4,3,4,4,1,4,4,1,3,1,1,3,2,1,2,2,2
7137,19,1,1,2,2,4,1,3,2,1,2,3,3,3,1,2,1,1,2,2,1,4,2,2,1,4,3,4,4,4
7353,20,2,5,1,2,2,4,3,3,3,3,4,1,1,4,4,3,4,4,2,3,3,2,4,4,3,4,3,3,4
7370,19,1,1,2,2,4,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,1,4,4,1,1,2,1,1,3
7385,18,1,4,1,1,2,1,3,1,4,4,1,1,4,4,4,1,1,2,2,4,2,2,2,3,3,3,3,3,3
7577,20,2,1,1,2,2,4,4,4,4,1,4,1,1,1,1,1,1,3,3,4,1,3,1,4,4,2,4,3,3
7598,19,2,2,2,2,3,2,4,4,3,2,4,4,3,2,3,3,3,3,4,1,3,1,1,4,4,2,4,4,4
7734,18,2,2,1,2,2,1,3,1,1,1,4,2,1,3,4,2,1,3,3,3,2,1,2,2,4,4,4,3,3
7751,18,2,6,2,2,3,3,1,2,2,2,3,4,4,3,4,3,4,1,1,2,1,1,4,2,2,3,2,2,3
7877,20,1,1,1,2,2,1,2,1,1,2,4,1,4,2,2,4,3,4,4,1,4,4,3,1,4,2,3,2,2
7941,19,2,4,1,2,1,1,4,1,1,4,1,3,3,4,3,3,3,4,2,3,2,2,2,4,3,4,4,4,4
7944,18,2,2,1,2,1,3,3,4,3,3,3,2,2,2,2,2,2,1,1,4,1,1,3,4,4,4,4,4,4
7960,19,2,1,2,2,4,2,2,1,2,2,2,3,3,4,3,4,4,4,1,4,3,2,4,3,3,2,1,1,3
7990,19,2,1,2,2,3,2,2,2,2,3,2,3,2,4,2,2,4,2,1,2,3,1,2,2,2,2,2,2,2
8003,18,1,1,2,2,3,2,2,1,1,1,2,2,1,4,2,2,3,3,4,4,3,4,3,2,1,2,2,3,4
8016,18,2,4,2,2,3,2,2,4,3,2,2,4,4,3,4,4,4,2,2,4,4,1,1,3,2,3,2,3,2
8045,22,1,1,2,1,3,3,4,2,2,4,3,1,4,3,2,2,2,4,2,2,3,4,2,1,1,4,1,2,1
8103,18,2,2,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,4,2,2,2,3,3,3,4,3,3
8109,18,2,7,1,2,1,1,1,3,4,1,2,2,2,2,2,2,3,2,4,4,3,2,2,4,2,3,1,3,4
8120,18,2,6,1,1,1,2,2,2,2,2,2,1,3,1,1,3,1,4,4,4,2,4,4,3,3,3,3,3,3
8134,19,2,1,2,1,4,3,1,3,4,1,4,4,2,2,2,3,4,1,1,4,3,2,2,2,2,1,3,1,4
8171,18,1,1,2,1,3,3,2,2,3,3,3,4,2,2,4,4,4,1,3,2,1,1,1,3,2,4,2,2,2
8235,21,1,1,2,1,3,3,2,2,3,3,4,4,1,2,3,3,1,2,1,3,1,3,2,4,2,3,1,2,1
8238,18,2,6,2,2,3,2,1,3,3,1,3,4,1,1,1,2,2,1,3,3,3,4,4,2,1,4,2,2,4
8286,19,2,4,2,2,4,1,3,4,2,3,3,1,4,3,4,4,3,3,4,1,3,2,1,1,3,4,3,4,3
8385,17,2,2,2,1,3,3,1,3,4,3,3,4,4,1,4,3,4,1,1,1,2,1,4,2,2,2,2,2,2
8454,18,2,7,1,1,2,4,1,2,1,4,2,3,1,2,1,4,1,3,2,1,1,4,4,3,3,3,3,3,1
8622,20,2,1,2,1,3,3,1,1,3,3,4,1,4,4,2,1,4,2,2,4,1,1,1,4,1,3,2,2,4
8641,17,2,1,2,1,4,2,2,1,1,3,2,2,2,2,3,3,3,4,1,4,3,4,2,2,3,1,1,1,1
8715,19,2,1,2,1,4,4,1,3,2,2,3,3,3,4,2,2,4,1,1,2,1,2,2,4,1,3,1,1,3
8770,19,2,1,2,1,4,2,1,1,1,3,2,3,2,3,2,3,1,3,2,3,1,3,3,3,1,3,4,1,4
8848,19,2,1,1,1,2,4,4,4,4,4,4,3,1,3,1,3,3,2,2,2,2,2,2,3,3,3,1,1,1
8898,23,1,2,1,1,2,2,1,3,4,4,2,3,3,4,3,2,3,1,4,2,2,4,4,2,1,4,1,1,3
9048,17,2,2,1,2,1,4,1,3,2,1,1,2,3,4,4,2,4,3,1,2,2,1,3,4,4,3,4,3,1
9113,18,2,1,1,1,2,2,3,1,4,1,4,3,4,2,4,1,1,3,4,3,2,2,2,4,3,4,3,3,3
9162,18,1,1,2,1,4,3,1,3,2,1,2,3,1,4,3,3,3,3,2,2,1,4,1,2,3,1,3,4,3
9274,18,1,1,1,2,2,2,2,4,3,4,2,2,1,4,1,1,1,3,3,4,3,4,2,2,3,3,4,2,1
9390,22,1,6,1,1,2,2,1,3,4,1,2,2,4,1,2,1,2,2,2,3,1,4,2,4,3,2,2,3,4
9529,20,2,1,2,1,3,3,4,4,3,3,3,2,2,2,4,4,3,1,1,1,4,3,4,2,2,3,2,2,4
9538,18,2,5,2,2,3,4,3,1,4,1,2,2,4,4,3,1,3,2,1,3,1,3,4,3,2,3,3,2,1
9551,20,2,1,2,2,4,2,1,1,2,2,1,3,3,2,2,1,3,4,3,4,4,4,1,2,3,2,1,3,1
9574,19,2,2,2,1,3,4,4,2,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,4,2,2,2
9655,19,1,7,1,1,2,4,3,3,4,4,4,1,1,1,1,1,1,2,2,2,3,2,2,3,3,3,3,3,3
9661,18,2,2,2,1,4,2,2,2,4,1,1,3,1,4,1,3,3,1,1,1,1,2,4,4,3,2,4,3,3
9700,19,2,2,1,2,3,3,2,4,1,3,1,2,2,4,3,1,2,1,2,2,4,2,1,1,3,4,1,1,4
9774,20,2,1,1,2,2,4,3,4,4,4,3,1,3,1,2,3,1,2,2,3,2,2,2,2,1,1,2,3,1
9796,18,2,2,1,2,2,3,3,4,3,2,3,4,3,4,2,3,1,3,2,2,4,1,4,4,3,4,3,4,1
9890,20,2,1,1,2,1,2,4,2,3,4,4,1,2,3,4,4,1,3,3,2,1,2,1,3,1,4,4,3,2
9928,19,2,6,2,2,4,3,3,2,2,3,4,2,2,3,2,4,4,3,3,2,2,4,1,1,1,4,3,1,1
9942,18,2,6,2,2,4,2,1,1,2,2,2,3,3,4,3,3,3,4,2,4,4,4,3,2,1,1,2,1,1
9943,17,1,2,1,1,2,3,2,3,2,1,1,2,3,3,4,1,1,1,2,1,1,4,4,4,2,4,1,1,1
9984,18,2,2,2,1,3,3,3,4,2,2,2,1,3,2,1,4,1,3,4,1,2,1,1,4,3,4,3,3,1
9234,17,2,6,2,1,4,2,2,1,2,2,1,2,2,4,4,3,1,3,2,4,1,2,3,2,1,3,1,1,1
8929,22,1,6,2,1,3,4,3,2,3,4,2,3,3,3,4,1,1,2,1,4,2,2,1,4,1,3,2,3,2
7152,18,2,4,2,1,4,2,2,2,2,2,2,2,3,4,3,3,3,4,2,4,4,4,3,1,1,2,4,1,1
310436,18,1,6,1,1,1,4,2,4,3,1,2,4,1,1,2,2,3,3,3,2,2,1,1,4,4,1,4,4,4
553,19,2,2,1,2,1,1,3,2,1,1,4,3,4,1,2,2,3,3,3,2,4,1,1,1,2,1,4,3,2
6809941,18,2,1,2,2,4,3,3,2,4,2,4,1,3,4,3,2,3,4,4,4,3,4,4,1,1,1,1,1,3
2264,18,2,7,1,1,2,4,1,4,4,4,4,1,3,3,3,3,3,3,2,1,2,2,2,3,3,2,1,1,1
4102,18,1,6,2,2,4,1,1,1,4,1,3,3,4,2,2,3,3,1,1,4,3,2,2,2,1,1,1,1,2
8852,18,2,6,1,2,2,3,3,2,3,3,3,1,1,3,1,1,1,2,2,4,2,2,2,4,4,2,3,4,4
1403,22,1,5,1,2,2,3,4,4,1,3,4,3,1,1,1,1,2,2,4,1,2,2,2,3,2,3,2,3,1
6718,20,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3